#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
33,Miguel Amaya,CHC,70,254,221,50,10,0,700.00%,2700.00%,28,23,68,7,1,0,9.20%,26.80%,0.149,0.287,0.225,0.316,0.374,0.691,0.305,91,460.8,1.88,0.35,0.97
34,Nick Fortes,MIA,90,318,288,67,12,1,900.00%,3500.00%,32,21,58,6,5,2,6.50%,18.20%,0.137,0.26,0.231,0.295,0.368,0.664,0.291,80,481.1,2.42,-0.52,0.86
35,Connor Wong,BOS,101,363,334,79,18,1,1100.00%,4200.00%,39,21,111,4,6,2,5.70%,30.60%,0.159,0.319,0.237,0.287,0.396,0.683,0.295,79,342.6,2.08,-0.53,0.69
36,Christian Bethancourt,MIA,76,276,259,62,12,0,900.00%,3200.00%,31,13,69,1,2,1,4.60%,25.00%,0.152,0.291,0.24,0.276,0.391,0.668,0.287,77,469.8,1.99,-0.02,0.94
37,Tom Murphy,SFG,55,203,181,44,8,0,800.00%,2300.00%,23,19,57,2,0,0,9.10%,28.10%,0.178,0.308,0.243,0.316,0.421,0.737,0.319,101,508.8,1.73,-0.48,1.27
38,Yasmani Grandal,PIT,80,303,261,59,10,0,700.00%,2900.00%,30,37,64,2,0,0,12.20%,21.20%,0.123,0.273,0.227,0.326,0.35,0.676,0.302,86,524,2.1,-0.1,0.87
39,Christian Vázquez,MIN,75,280,257,62,12,0,500.00%,2800.00%,28,18,56,2,2,1,6.40%,20.10%,0.106,0.289,0.242,0.293,0.347,0.64,0.281,77,503.9,0.93,-0.02,1.08
40,Carson Kelly,DET,74,264,234,52,11,0,600.00%,2600.00%,26,24,59,3,1,0,9.10%,22.50%,0.125,0.268,0.222,0.299,0.347,0.646,0.286,79,674.6,1.23,-0.67,0.99
41,Max Stassi,CHW,60,228,202,43,8,1,700.00%,2300.00%,23,21,67,3,0,0,9.30%,29.30%,0.147,0.275,0.211,0.293,0.358,0.651,0.287,79,627.9,1.64,-0.48,1.05
42,Luke Maile,CIN,62,205,183,42,9,0,500.00%,2100.00%,23,17,54,3,1,0,8.10%,26.10%,0.137,0.293,0.229,0.303,0.366,0.67,0.295,78,730.6,1.2,-0.42,1.25
43,Elias Díaz,COL,115,443,407,104,21,1,1300.00%,4600.00%,54,30,95,2,1,0,6.70%,21.40%,0.151,0.3,0.255,0.307,0.406,0.714,0.309,77,252.1,3.36,-0.21,0.52
44,Gary Sánchez,MIL,69,268,237,51,9,0,1400.00%,3000.00%,38,25,73,4,1,0,9.30%,27.40%,0.213,0.244,0.214,0.298,0.427,0.725,0.313,95,363.9,3.43,-0.04,0.8
45,Omar Narváez,NYM,64,230,202,47,9,0,400.00%,2200.00%,20,22,45,3,0,0,9.50%,19.60%,0.11,0.275,0.232,0.311,0.342,0.654,0.291,81,722.2,2.44,-0.9,1.24
46,Jose Trevino,NYY,72,258,242,57,10,1,600.00%,2600.00%,27,12,43,2,1,1,4.50%,16.80%,0.121,0.261,0.234,0.273,0.356,0.629,0.273,70,544.4,1.91,-0.47,1.06
47,Reese McGuire,BOS,71,247,226,55,12,1,200.00%,2300.00%,20,14,57,2,2,1,5.60%,23.10%,0.095,0.315,0.246,0.294,0.34,0.634,0.279,68,719.3,0.99,2.03,1.34
48,Kyle Higashioka,SDP,63,220,203,44,9,0,800.00%,2200.00%,27,13,58,1,0,0,5.90%,26.20%,0.169,0.26,0.219,0.267,0.388,0.655,0.282,75,576.5,3.29,0.1,1.07
49,James McCann,BAL,58,210,192,45,8,0,500.00%,2200.00%,22,13,54,3,2,1,6.00%,25.70%,0.124,0.293,0.233,0.288,0.357,0.645,0.283,79,677.1,1.83,-0.59,1.27
50,Alex Jackson,TBR,42,159,145,31,7,1,600.00%,1700.00%,19,10,52,3,0,0,6.20%,32.80%,0.176,0.279,0.21,0.272,0.385,0.657,0.285,77,748.6,2.02,1.09,1.3
51,Andrew Knizner,TEX,50,183,166,37,7,0,600.00%,2000.00%,20,13,43,3,1,0,7.00%,23.70%,0.143,0.27,0.225,0.291,0.368,0.659,0.289,79,655.6,3.36,1.37,1.28
52,Matt Thaiss,LAA,51,182,158,34,6,0,500.00%,1900.00%,19,19,47,2,1,0,10.70%,25.90%,0.141,0.27,0.216,0.307,0.357,0.664,0.294,83,684.7,1.85,0,1.29
