#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
172,J.P. France,HOU,16,39,119.2,8,6,8,0,0,116,59,18,104,47,7.83,3.55,2.21,1.32,0.251,1.37,0.289,71.70%,4.42,4.69,501.2,4.14,0.81,0.95
173,Ryne Nelson,ARI,19,27,111.2,6,6,5,0,1,115,60,18,83,36,6.65,2.93,2.27,1.45,0.262,1.35,0.286,68.70%,4.8,4.94,587.8,3.02,1.2,0.9
174,José Urquidy,HOU,14,36,107.1,6,5,5,0,1,106,55,19,86,30,7.23,2.51,2.88,1.56,0.255,1.27,0.281,69.40%,4.62,4.85,476.2,2.79,0.29,0.66
175,Tylor Megill,NYM,14,33,95.2,6,6,5,0,1,97,49,14,85,36,7.96,3.39,2.35,1.34,0.259,1.39,0.3,70.30%,4.63,4.68,511.6,2.11,0.48,0.67
176,Robbie Ray,SFG,8,12,49,3,3,4,0,0,44,22,8,54,17,9.93,3.14,3.16,1.4,0.237,1.25,0.293,73.20%,4.09,4.21,528,2.37,0.59,0.63
177,Cody Bradford,TEX,9,31,68,5,4,2,0,0,70,36,11,59,16,7.79,2.18,3.58,1.52,0.261,1.27,0.296,67.80%,4.7,4.54,670.2,2.81,0.09,0.44
178,Peter Lambert,COL,16,28,101.1,4,7,4,0,0,112,61,18,79,37,6.99,3.27,2.13,1.55,0.275,1.46,0.304,66.50%,5.39,5.19,750.3,3.89,-0.17,1.43
179,Matt Waldron,SDP,14,16,81.2,4,5,5,0,0,84,43,14,63,26,6.92,2.84,2.44,1.55,0.26,1.34,0.285,69.60%,4.75,5.02,745.1,5.02,-1.74,0.38
180,Mason Black,SFG,6,30,58.1,3,3,3,0,1,55,27,7,57,22,8.77,3.35,2.62,1.11,0.245,1.31,0.298,70.70%,4.19,4.19,999,2.21,-0.31,0.47
181,Brandon Williamson,CIN,13,21,71.1,3,4,4,0,1,72,39,12,62,30,7.88,3.74,2.11,1.52,0.258,1.42,0.293,69.40%,4.97,5.08,999,2.51,0.96,0.46
182,Tyler Wells,BAL,11,38,88,5,4,4,0,3,79,42,15,82,26,8.37,2.68,3.12,1.55,0.236,1.19,0.268,71.10%,4.27,4.63,332.8,3.04,0.89,0.49
183,Huascar Ynoa,ATL,7,27,56,3,4,2,0,1,53,28,8,58,21,9.35,3.38,2.76,1.25,0.246,1.32,0.303,69.00%,4.51,4.24,698.6,4.5,-0.97,0.32
