#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
123,Joe Mantiply,ARI,0,52,53,3,3,0,0,7,53,24,6,45,14,7.63,2.36,3.23,0.97,0.258,1.27,0.304,70.30%,4,3.85,999,1.5,-1.39,0.71
124,Kyle Hurt,LAD,2,21,31,2,1,1,0,1,26,14,4,38,14,10.85,4.17,2.6,1.04,0.221,1.28,0.294,71.10%,4.03,3.85,609.9,3.27,-1.92,0.89
125,Brennan Bernardino,BOS,1,52,51,2,2,0,0,6,50,23,6,53,20,9.41,3.49,2.7,1.01,0.251,1.36,0.317,72.90%,4,3.98,999,2.57,-0.78,0.63
126,Chris Devenski,TBR,1,46,51,4,3,0,0,9,49,26,8,49,14,8.61,2.52,3.42,1.33,0.25,1.25,0.297,66.80%,4.58,4.25,749.9,2.04,0.08,0.53
127,Carlos Estévez,LAA,0,62,63,3,4,0,18,7,58,30,9,67,27,9.58,3.89,2.47,1.26,0.242,1.36,0.3,72.30%,4.29,4.38,241.6,2.59,-0.15,1.28
128,Tyler Kinley,COL,0,59,58.2,2,3,0,9,11,59,32,9,59,23,9.13,3.46,2.64,1.42,0.259,1.4,0.312,69.10%,4.84,4.58,493,2.99,-0.84,0.86
129,Garrett Cleavinger,TBR,0,44,44.2,2,2,0,0,5,35,18,5,57,21,11.41,4.25,2.69,1.07,0.211,1.25,0.287,75.50%,3.57,3.85,750.7,2.97,-0.53,0.86
130,Jalen Beeks,COL,2,43,49.2,2,3,0,1,6,52,25,7,47,20,8.56,3.65,2.34,1.22,0.264,1.45,0.317,70.80%,4.61,4.45,999,3.48,-0.13,0.46
131,Enyel De Los Santos,SDP,0,61,61.1,4,3,0,0,13,54,27,7,64,24,9.35,3.49,2.68,1.06,0.233,1.27,0.29,72.00%,3.93,4.04,740,1.74,-1.46,0.53
132,Brent Suter,CIN,0,54,59.2,3,3,0,0,7,60,29,8,50,21,7.52,3.24,2.32,1.18,0.259,1.37,0.299,71.20%,4.35,4.49,749.7,2.43,0.13,0.4
