#,Name,Team,W,L,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
808,Guillermo Zuñiga,LAA,1,1,4.78,25,0,0,1,26,114,25,15,14,4,13,0,1,27
809,Forrest Whitley,HOU,1,1,4.61,21,0,0,1,24,105,22,13,12,3,12,0,1,24
810,Jorge Alcala,MIN,2,3,4.43,34,0,0,4,37.2,160,34,20,19,6,15,0,2,38
811,Wil Crowe,,1,2,4.94,18,1,0,2,21.1,95,21,13,12,3,11,1,1,19
812,Jake Brentz,KCR,1,2,5.26,26,0,0,4,25.1,114,23,16,15,3,16,0,2,28
813,Taylor Lehman,PHI,1,1,4.94,12,0,0,1,11.2,53,12,7,6,2,6,0,0,10
814,Andrew Wantz,LAA,2,1,4.53,38,0,0,5,42,182,40,23,21,7,18,1,2,41
815,Justin Yeager,MIL,1,1,4.66,13,0,0,1,13,57,12,7,7,2,8,0,1,14
816,Zack Kelly,BOS,2,1,4.63,31,0,0,2,32,143,31,18,16,4,16,0,3,30
817,Keegan Thompson,CHC,2,1,4.52,28,1,0,2,34.2,153,33,19,17,5,17,0,2,33
818,Brad Boxberger,,2,2,4.42,44,0,1,6,43,184,38,23,21,6,19,1,2,42
819,Nabil Crismatt,LAD,1,1,4.64,14,0,0,1,17,74,18,10,9,3,6,0,1,15
820,Chad Smith,NYM,1,1,4.63,11,0,0,1,13.1,60,12,7,7,2,8,0,1,13
821,Dylan Coleman,HOU,2,2,4.38,35,0,0,5,34.2,156,29,18,17,4,23,1,3,39
822,Ryan Tepera,,1,2,4.41,23,0,1,3,23.1,100,22,12,11,3,9,1,2,22
823,Matt Krook,BAL,0,0,4.61,16,0,0,1,17,76,15,9,9,2,10,0,1,17
824,Gavin Hollowell,COL,2,2,5.29,43,0,1,5,48,212,48,31,28,8,20,1,4,48
825,Alan Busenitz,CIN,0,1,5.23,9,0,0,1,9.1,41,10,6,5,2,4,0,0,8
826,Kaleb Ort,BAL,1,1,4.98,20,0,0,1,20.2,91,21,12,11,3,9,1,1,21
827,Lane Ramsey,,2,2,4.78,25,0,0,4,25.2,118,28,15,14,3,15,0,1,24
828,Elieser Hernández,,1,2,4.71,19,1,0,1,22.1,94,21,13,12,5,7,0,1,23
829,Wily Peralta,PIT,0,0,4.08,6,0,0,1,9.2,43,10,5,4,1,5,0,0,7
830,Robert Gsellman,WSN,0,0,5.41,11,0,0,1,11.2,52,13,8,7,2,5,0,1,9
831,Kelvin Caceres,LAA,2,1,4.79,28,0,0,2,26.1,119,24,15,14,3,17,0,2,28
832,Heath Hembree,,0,1,5.34,6,0,0,1,6.1,27,6,4,4,1,3,0,0,7
833,Luis Cessa,KCR,0,1,5.57,7,1,0,0,11.2,54,15,8,7,2,5,0,0,7
834,Hunter Strickland,LAA,1,1,4.92,15,0,0,1,15,66,14,9,8,2,7,0,1,14
835,Erasmo Ramírez,TBR,1,1,4.67,19,0,0,1,27,116,30,15,14,4,7,0,1,21
836,Adam Kolarek,LAA,1,1,4.63,17,0,0,1,18.1,84,19,10,9,2,9,0,2,14
837,Karl Kauffmann,COL,0,1,6.9,6,1,0,1,12.1,58,15,10,9,2,6,0,1,7
838,Corbin Martin,ARI,1,1,4.76,23,0,0,1,25.1,112,26,15,13,4,12,0,1,24
839,Austin Warren,SFG,1,1,4.57,17,0,0,1,17,74,17,9,9,3,7,0,1,15
840,Cam Sanders,CHC,1,0,4.86,8,0,0,1,9,41,8,5,5,1,7,0,1,10
841,Vinny Nittoli,OAK,1,1,4.38,25,0,0,1,27.2,121,27,15,14,4,10,0,3,26
842,Brendon Little,TOR,1,1,4.45,11,0,0,0,12.1,55,12,7,6,2,6,0,2,11
843,Carlos Vargas,SEA,1,1,4.18,27,0,0,1,27.2,124,27,14,13,3,14,0,3,27
844,Kirby Snead,,1,2,4.7,19,0,0,3,18.1,83,20,10,9,2,9,1,1,15
845,Victor Mederos,LAA,0,1,4.84,10,0,0,0,13,58,13,8,7,2,6,0,1,12
846,Chase Anderson,PIT,1,2,5.26,16,2,0,1,23.2,104,25,15,14,4,10,0,2,19
847,Adam Cimber,LAA,2,3,4.61,44,0,1,7,43.2,187,45,24,22,6,12,1,4,32
848,Albert Abreu,,0,0,4.63,9,0,0,1,12.1,54,11,7,6,2,7,0,1,12
849,Zack Weiss,MIN,1,1,4.71,20,0,0,1,21.1,94,21,12,11,3,11,1,1,23
