#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
106,Nasim Nuñez,WSN,26,109,96,21,4,0,1,12,7,11,24,1,6,1,9.90%,22.40%,0.065,0.286,0.222,0.302,0.287,0.589,0.268,64,999,3.27,-0.02,1.83
107,Julio Carreras,COL,11,47,43,11,3,0,1,6,4,3,11,0,1,0,6.10%,24.30%,0.111,0.321,0.247,0.297,0.358,0.655,0.287,63,999,3.04,-0.55,1.97
108,Wenceel Pérez,DET,8,31,28,7,1,0,0,4,3,2,6,0,1,0,7.90%,17.90%,0.077,0.298,0.244,0.308,0.32,0.629,0.281,76,999,1,2.31,2.03
109,Tyler Wade,SDP,37,86,78,18,3,0,1,10,5,6,21,1,6,1,7.10%,25.10%,0.074,0.304,0.225,0.287,0.299,0.587,0.263,63,999,1.47,0.17,1.92
110,Luke Williams,ATL,22,45,42,9,2,0,1,5,3,3,13,0,4,0,7.10%,28.50%,0.106,0.292,0.215,0.275,0.321,0.596,0.264,61,999,1.17,-0.42,2.01
111,Jose Iglesias,NYM,9,36,34,9,2,0,0,3,3,2,6,0,0,0,4.20%,15.80%,0.075,0.302,0.255,0.291,0.331,0.622,0.274,70,999,2.66,-0.34,2.03
112,Blaze Alexander,ARI,7,22,20,5,1,0,0,3,2,2,7,0,0,0,7.90%,32.30%,0.062,0.338,0.224,0.291,0.286,0.577,0.261,60,999,2.68,0.05,2.03
113,Livan Soto,LAA,8,26,23,5,1,0,0,3,2,2,6,0,0,0,8.70%,24.80%,0.055,0.295,0.219,0.29,0.274,0.564,0.257,57,999,3.32,1.13,2.01
114,Grae Kessinger,HOU,24,76,68,14,3,0,2,8,7,7,20,1,1,0,9.20%,26.30%,0.108,0.267,0.206,0.287,0.314,0.602,0.27,69,999,2.69,0.53,1.77
115,Ehire Adrianza,,11,33,29,7,1,0,1,3,3,3,8,0,0,0,8.60%,22.70%,0.113,0.273,0.221,0.297,0.334,0.631,0.281,74,999,2.8,1.67,1.99
116,Joey Wendle,NYM,80,296,275,66,15,2,3,31,25,14,60,4,7,2,4.70%,20.10%,0.103,0.291,0.239,0.283,0.342,0.625,0.274,70,738,2.59,-0.27,1.2
117,Mason McCoy,SDP,14,22,21,4,1,0,0,2,2,2,10,0,1,0,7.00%,46.30%,0.065,0.39,0.198,0.258,0.264,0.522,0.236,44,999,0.83,2,2.03
118,José Tena,CLE,16,50,46,11,2,0,1,5,5,3,15,0,1,0,6.70%,30.60%,0.103,0.329,0.232,0.287,0.335,0.622,0.275,74,999,3.4,0.11,1.94
119,Jonathan Araúz,LAD,21,54,49,9,2,0,1,5,6,4,14,0,0,0,7.60%,24.90%,0.12,0.239,0.194,0.258,0.313,0.572,0.253,56,999,1.89,-0.69,1.83
120,Brad Miller,TEX,27,92,81,17,3,0,3,9,10,9,27,0,1,0,10.10%,29.30%,0.147,0.276,0.213,0.295,0.36,0.655,0.289,80,999,2.01,-0.41,1.7
121,Andrew Velazquez,ATL,34,82,75,15,3,0,2,10,6,6,27,0,6,1,6.70%,32.60%,0.118,0.293,0.206,0.263,0.324,0.588,0.259,57,999,2.65,1.29,1.87
122,Jose Barrero,CIN,25,92,84,18,4,0,2,10,10,6,31,2,2,1,6.10%,34.00%,0.131,0.3,0.209,0.271,0.34,0.611,0.269,61,999,4.34,2.45,1.7
